<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 26806</b> résultats <font class="Normal">sur un total de <b>26806</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
raisonnable	raisonnable	19.39	28.25	rai-son-na-ble	
violent	violent	19.39	24.99	vio-lent	
incroyable	incroyable	19.32	74.67	in-croya-ble	
intelligent	intelligent	19.32	57.51	in-tel-li-gent	
demi	demi	19.12	38.26	de-mi	
muette	muet	19.12	14.23	muet-te	
fines	fin	19.05	26.95	fi-nes	
superbe	superbe	19.05	53.42	su-per-be	
intérieur	intérieur	18.99	13.17	in-té-rieur	
graves	grave	18.92	142.48	gra-ves	
morts	mort	18.92	89.29	morts	
américains	américain	18.78	63.92	a-mé-ri-cains	
tristes	triste	18.72	103.44	tris-tes	
sincère	sincère	18.65	19.51	sin-cè-re	
supérieure	supérieur	18.65	25.72	su-pé-rieu-re	
anciennes	ancien	18.65	73.16	an-cien-nes	
mystérieuse	mystérieux	18.65	19.61	mys-té-rieu-se	
anglaise	anglais	18.58	32.22	an-glai-se	
saint	saint	18.51	23.22	saint	
parfaite	parfait	18.45	58.77	par-fai-te	
sèches	sec	18.45	43.02	sè-ches	
personnel	personnel	18.38	61.02	per-son-nel	
blonds	blond	18.38	21.45	blond-s	
différente	différent	18.31	135.80	dif-fé-ren-te	
familier	familier	18.31	11.30	fa-mi-lier	
gentille	gentil	18.31	192.64	gen-til-le	
importante	important	18.31	229.36	im-por-tan-te	
absent	absent	18.18	14.91	ab-sent	
complète	complet	18.18	29.19	com-plè-te	
minces	mince	18.18	16.27	min-ces	
éternelle	éternel	18.18	30.53	é-ter-nel-le	
public	public	18.04	44.81	pu-blic	
violente	violent	18.04	24.99	vio-len-te	
tragique	tragique	17.97	12.13	tra-gi-que	
définitive	définitif	17.97	8.01	dé-fi-ni-ti-ve	
marine	marine	17.97	7.26	ma-ri-ne	
nombreuses	nombreux	17.91	44.64	nom-breu-ses	
pires	pire	17.91	98.83	pi-res	
rapides	rapide	17.84	48.73	ra-pi-des	
redoutable	redoutable	17.77	6.61	re-dou-ta-ble	
supérieur	supérieur	17.70	25.72	su-pé-rieur	
pascal	pascal	17.64	0.79	pas-cal	
plate	plat	17.50	14.66	pla-te	
réelle	réel	17.50	38.70	ré-el-le	
glacé	glacé	17.50	11.42	gla-cé	
forts	fort	17.43	95.28	forts	
responsable	responsable	17.43	46.01	res-pon-sa-ble	
probable	probable	17.36	10.98	pro-ba-ble	
difficiles	difficile	17.36	150.58	dif-fi-ci-les	
attentif	attentif	17.30	6.66	at-ten-tif	
inutiles	inutile	17.30	72.71	i-n-uti-les	
personnelle	personnel	17.30	61.02	per-son-nel-le	
quotidienne	quotidien	17.30	10.15	quo-ti-dien-ne	
curieuse	curieux	17.23	34.36	cu-rieu-se	
meilleurs	meilleur	17.23	221.17	meil-leurs	
grises	gris	17.16	19.64	gri-ses	
inconnue	inconnu	17.16	23.13	in-con-nue	
légers	léger	17.16	37.77	lé-gers	
soudaine	soudain	17.16	13.62	sou-dai-ne	
secs	sec	17.09	43.02	secs	
mou	mou	17.09	6.99	mou	
net	net	17.09	19.95	net	
endormie	endormi	16.96	13.43	en-dor-mie	
fatigué	fatigué	16.89	35.86	fa-ti-gué	
pareilles	pareil	16.82	133.45	pa-reil-les	
suivant	suivant	16.82	28.81	sui-vant	
étrangères	étranger	16.82	31.39	é-tran-gè-res	
vraies	vrai	16.76	807.03	vraies	
désert	désert	16.69	8.02	dé-sert	
fière	fier	16.69	79.13	fiè-re	
brillant	brillant	16.62	29.89	bril-lant	
capables	capable	16.62	76.85	ca-pa-bles	
chinois	chinois	16.62	21.34	chi-nois	
désagréable	désagréable	16.55	10.91	dé-sa-gréa-ble	
muet	muet	16.55	14.23	muet	
sacrée	sacré	16.55	56.88	sa-crée	
royal	royal	16.49	22.65	royal	
interminables	interminable	16.49	4.11	in-ter-mi-na-bles	
