<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"></head><body><font class="Normal"><b>0 - 48287</b> résultats <font class="Normal">sur un total de <b>48287</b> mots correspondant à votre requête</font><br><br> <pre>ortho	lemme	freqlivres	freqlemfilms2	orthosyll	
courage	courage	69.80	70.73	cou-ra-ge	
images	image	69.53	82.13	i-ma-ges	
anglais	anglais	69.46	51.01	an-glais	
expression	expression	69.26	19.22	ex-pres-sion	
étage	étage	69.19	46.45	é-ta-ge	
pointe	pointe	69.05	13.32	poin-te	
côtés	côté	69.05	285.99	cô-tés	
chevaux	cheval	68.99	129.12	che-vaux	
passion	passion	68.72	33.78	pas-sion	
surprise	surprise	68.51	82.94	sur-pri-se	
regards	regard	68.24	61.35	re-gard-s	
midi	midi	68.11	35.19	mi-di	
noms	nom	68.11	570.67	nom-s	
oeuvre	oeuvre	68.11	41.96	oeu-vre	
lunettes	lunette	67.84	33.33	lu-net-tes	
plan	plan	67.84	147.54	plan	
amitié	amitié	67.70	36.69	a-mi-tié	
courant	courant	67.36	111.58	cou-rant	
histoires	histoire	67.30	359.92	his-toi-res	
arbre	arbre	67.16	81.69	ar-bre	
objet	objet	67.09	45.94	ob-jet	
solitude	solitude	66.96	19.64	so-li-tu-de	
spectacle	spectacle	66.76	55.19	s-pec-ta-cle	
seconde	seconde	66.22	124.54	se-con-de	
hauteur	hauteur	66.15	19.99	hau-teur	
morts	mort	66.15	460.05	morts	
douceur	douceur	66.08	16.87	dou-ceur	
sortie	sortie	66.01	47.81	sor-tie	
nuits	nuit	65.88	586.54	nuits	
politique	politique	65.88	38.38	po-li-ti-que	
fatigue	fatigue	65.81	9.25	fa-ti-gue	
prince	prince	65.61	98.90	prin-ce	
avis	avis	65.14	139.22	a-vis	
oiseaux	oiseau	65.07	77.73	oi-seaux	
port	port	64.86	31.68	port	
terrain	terrain	64.86	52.58	ter-rain	
prison	prison	64.66	147.49	pri-son	
cul	cul	64.46	150.81	cul	
théâtre	théâtre	64.32	41.49	théâ-tre	
bataille	bataille	64.19	32.02	ba-tail-le	
pattes	patte	63.85	34.60	pat-tes	
